time,xaxis,yaxis,zaxis,State
1.56107,0,0.05,0.03,
1.565046,-0.03,0.03,0.02,
1.566301,-0.06,0.01,0.02,
1.569519,-0.09,0,0.02,
1.571926,-0.11,-0.02,0.01,
1.574542,-0.13,-0.03,0.01,
1.577435,-0.15,-0.04,0.01,
1.57891,-0.18,-0.05,0.01,
1.581404,-0.2,-0.06,0.01,
1.584096,-0.22,-0.07,0.02,
1.587189,-0.23,-0.08,0.02,
1.589641,-0.24,-0.08,0.02,
1.592164,-0.25,-0.08,0.03,
1.594177,-0.26,-0.08,0.03,
1.59666,-0.26,-0.07,0.03,
1.599175,-0.27,-0.07,0.03,
1.601536,-0.27,-0.08,0.03,
1.605321,-0.27,-0.08,0.03,
1.606602,-0.26,-0.09,0.03,
1.610233,-0.25,-0.09,0.03,
1.612346,-0.24,-0.09,0.03,
1.614899,-0.21,-0.09,0.03,
1.617381,-0.19,-0.08,0.02,
1.619258,-0.17,-0.08,0.01,
1.621828,-0.14,-0.08,0.01,
1.624603,-0.11,-0.07,0.01,
1.627587,-0.08,-0.07,0.01,
1.63032,-0.05,-0.06,0.01,
1.632638,-0.02,-0.05,0,
1.635129,0.02,-0.03,0,
1.637158,0.04,-0.01,0,
1.639633,0.07,0.01,0,
1.642038,0.09,0.03,-0.01,
1.645227,0.1,0.04,-0.01,
1.648334,0.12,0.05,-0.02,
1.650746,0.12,0.05,-0.02,
1.652922,0.13,0.05,-0.03,
1.655353,0.13,0.05,-0.04,
1.657377,0.13,0.05,-0.04,
1.659852,0.12,0.05,-0.04,
1.662276,0.11,0.05,-0.04,
1.665915,0.11,0.04,-0.05,
1.667987,0.1,0.04,-0.05,
1.670702,0.1,0.04,-0.04,
1.67324,0.09,0.03,-0.04,
1.675643,0.08,0.03,-0.04,
1.677728,0.07,0.02,-0.03,
1.680327,0.07,0.01,-0.03,
1.682578,0.05,-0.01,-0.02,
1.685428,0.05,-0.01,-0.02,
1.688289,0.04,-0.01,-0.02,
1.690926,0.03,-0.02,-0.02,
1.693365,0.02,-0.02,-0.02,
1.695867,0,-0.01,-0.01,
1.698101,-0.01,-0.01,-0.01,
1.700284,-0.03,-0.01,-0.02,
1.702881,-0.04,-0.02,-0.02,
1.705349,-0.06,-0.02,-0.02,
1.708512,-0.08,-0.03,-0.02,
1.711228,-0.09,-0.03,-0.02,
1.713611,-0.1,-0.04,-0.01,
1.71605,-0.12,-0.03,-0.01,
1.718117,-0.12,-0.04,-0.01,
1.720511,-0.13,-0.04,0,
1.723347,-0.13,-0.05,-0.01,
1.7257,-0.13,-0.06,-0.01,
1.728804,-0.13,-0.06,-0.01,
1.731297,-0.12,-0.06,-0.01,
1.733752,-0.11,-0.06,0,
1.736361,-0.1,-0.06,0,
1.738222,-0.08,-0.05,0,
1.742402,-0.07,-0.04,0.01,
1.743631,-0.05,-0.03,0.01,
1.746541,-0.04,-0.02,0.02,
1.749058,-0.03,-0.01,0.02,
1.751685,-0.01,0.01,0.02,
1.754033,0,0.02,0.03,
1.756524,0.02,0.04,0.03,
1.758482,0.03,0.04,0.03,
1.761066,0.05,0.05,0.04,
1.764151,0.06,0.06,0.04,
1.766011,0.08,0.07,0.05,
1.7692,0.11,0.08,0.05,
1.771884,0.13,0.09,0.05,
1.774349,0.15,0.1,0.05,
1.776888,0.16,0.11,0.06,
1.77879,0.18,0.12,0.06,
1.78127,0.19,0.13,0.06,
1.783862,0.21,0.14,0.05,
1.786966,0.22,0.15,0.05,
1.790086,0.23,0.15,0.05,
1.792042,0.24,0.16,0.05,
1.794504,0.24,0.16,0.04,
1.797314,0.25,0.16,0.04,
1.798909,0.25,0.16,0.03,
1.80148,0.25,0.15,0.03,
1.805459,0.25,0.14,0.02,
1.806509,0.24,0.14,0.02,
1.809769,0.22,0.13,0.01,
1.812457,0.2,0.13,0.01,
1.814755,0.17,0.12,0.02,
1.817252,0.15,0.11,0.02,
1.819154,0.12,0.11,0.02,
1.821671,0.09,0.09,0.02,
1.824702,0.06,0.07,0.02,
1.827514,0.03,0.04,0.01,
1.829955,0,0.02,0,
1.832516,-0.02,-0.01,0,
1.834952,-0.05,-0.03,0,
1.83698,-0.07,-0.04,0,
1.840542,-0.1,-0.05,0,
1.842002,-0.12,-0.05,0,
1.844914,-0.14,-0.05,0,
1.84797,-0.16,-0.05,0,
1.850229,-0.17,-0.04,0,
1.852784,-0.18,-0.04,0.01,
1.855568,-0.18,-0.03,0.01,
1.857289,-0.18,-0.03,0.01,
1.859728,-0.18,-0.03,0.01,
1.862223,-0.18,-0.02,0.01,
1.865698,-0.18,-0.01,0.02,
1.867796,-0.18,-0.01,0.02,
1.870323,-0.17,-0.01,0.02,
1.87301,-0.17,-0.01,0.02,
1.87554,-0.17,-0.01,0.02,
1.877479,-0.16,-0.02,0.03,
1.879861,-0.16,-0.03,0.03,
1.882363,-0.15,-0.04,0.03,
1.885322,-0.14,-0.05,0.04,
1.888176,-0.13,-0.05,0.04,
1.890603,-0.13,-0.05,0.04,
1.893425,-0.12,-0.05,0.05,
1.895763,-0.11,-0.05,0.05,
1.897737,-0.1,-0.05,0.06,
1.900164,-0.09,-0.05,0.06,
1.902596,-0.08,-0.06,0.06,
1.905295,-0.07,-0.05,0.05,
1.908406,-0.06,-0.05,0.05,
1.910927,-0.05,-0.04,0.04,
1.913763,-0.05,-0.03,0.04,
1.916324,-0.04,-0.02,0.03,
1.917837,-0.03,-0.01,0.03,
1.92079,-0.03,-0.01,0.02,
1.922948,-0.02,-0.01,0.02,
1.925638,0,0,0.01,
1.928617,0.01,0.01,0,
1.931119,0.01,0.03,-0.01,
1.933734,0.02,0.04,-0.01,
1.936233,0.02,0.04,-0.01,
1.938352,0.02,0.05,-0.02,
1.940671,0.01,0.04,-0.02,
1.943525,0.01,0.04,-0.02,
1.946536,0.01,0.03,-0.02,
1.948835,0,0.02,-0.02,
1.951393,0,0.02,-0.03,
1.955079,-0.01,0.01,-0.03,
1.956521,-0.02,0,-0.03,
1.958461,-0.02,-0.01,-0.03,
1.96098,-0.03,-0.01,-0.03,
1.963811,-0.03,-0.01,-0.02,
1.965882,-0.02,-0.02,-0.02,
1.969023,-0.02,-0.03,-0.02,
1.971584,-0.02,-0.03,-0.02,
1.974417,0,-0.03,-0.02,
1.976716,0,-0.03,-0.02,
1.97853,0.02,-0.03,-0.03,
1.981062,0.03,-0.03,-0.02,
1.983822,0.05,-0.03,-0.02,
1.986775,0.06,-0.03,-0.03,
1.989457,0.07,-0.03,-0.03,
1.991926,0.09,-0.02,-0.02,
1.994997,0.11,-0.02,-0.02,
